Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
21 41827 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9876e+22 4 500000000000000000000 41286 10 1e+21 2 9.936329365079366e+21 4 1e+21 41284 8 750000000000000000000 2 4.2122666666666665e+21 4 750000000000000000000 41283 6 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 2 1 0 1.6405130952380952e+21 0 781847230547230600000 0 633713425463425500000 0 967901490176490200000 0 974928726828726900000
22 41852 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.987e+22 4 500000000000000000000 41286 10 1e+21 2 9.933829365079365e+21 4 1e+21 41284 8 750000000000000000000 2 4.1722666666666665e+21 4 750000000000000000000 41283 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 1 1 0 1.659179761904762e+21 0 787180563880563800000 0 639046758796758700000 0 975234823509823500000 0 984762060162060100000
23 41877 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9866e+22 4 500000000000000000000 41286 10 1e+21 2 9.931329365079365e+21 4 1e+21 41284 8 750000000000000000000 2 4.1322666666666665e+21 4 750000000000000000000 41283 2 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 3 1 0 1.6778464285714285e+21 0 797013897213897200000 0 646880092130092100000 0 984568156843156800000 0 994095393495393500000
24 41902 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9856e+22 4 500000000000000000000 41286 10 1e+21 2 9.926329365079366e+21 4 1e+21 41284 8 750000000000000000000 2 4.0922666666666665e+21 4 750000000000000000000 41283 4 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 2 1 0 1.6965130952380952e+21 0 804847230547230600000 0 657213425463425500000 0 991901490176490200000 0 1.0014287268287269e+21
25 41927 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9852e+22 4 500000000000000000000 41286 10 1e+21 2 9.918829365079365e+21 4 1e+21 41284 8 750000000000000000000 2 4.0522666666666665e+21 4 750000000000000000000 41283 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 2 1 0 1.7176797619047618e+21 0 812180563880563800000 0 665046758796758700000 0 999234823509823500000 0 1.0087620601620601e+21
26 41952 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9846e+22 4 500000000000000000000 41286 10 1e+21 2 9.913829365079364e+21 4 1e+21 41284 8 750000000000000000000 2 4.0122666666666665e+21 4 750000000000000000000 41283 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 3 1 0 1.7363464285714286e+21 0 822013897213897200000 0 670380092130092100000 0 1.0065681568431568e+21 0 1.0180953934953935e+21
27 41977 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9838e+22 4 500000000000000000000 41286 10 1e+21 2 9.911329365079366e+21 4 1e+21 41284 8 750000000000000000000 2 3.9722666666666665e+21 4 750000000000000000000 41283 4 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 3 1 0 1.7575130952380952e+21 0 827347230547230600000 0 675713425463425500000 0 1.0139014901764902e+21 0 1.0254287268287269e+21
28 42002 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9834e+22 4 500000000000000000000 41286 10 1e+21 2 9.908829365079365e+21 4 1e+21 41284 8 750000000000000000000 2 3.9322666666666665e+21 4 750000000000000000000 41283 2 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 2 1 0 1.776179761904762e+21 0 834680563880563800000 0 681046758796758700000 0 1.0232348235098235e+21 0 1.0352620601620601e+21
29 42027 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9826e+22 4 500000000000000000000 41286 10 1e+21 2 9.906329365079365e+21 4 1e+21 41284 8 750000000000000000000 2 3.8922666666666665e+21 4 750000000000000000000 41283 6 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 3 1 0 1.7948464285714285e+21 0 844513897213897200000 0 688880092130092100000 0 1.0305681568431568e+21 0 1.0425953934953935e+21
30 42052 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.982e+22 4 500000000000000000000 41286 10 1e+21 2 9.901329365079364e+21 4 1e+21 41284 8 750000000000000000000 2 3.8522666666666665e+21 4 750000000000000000000 41283 4 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 3 1 0 1.8135130952380952e+21 0 852347230547230600000 0 699213425463425500000 0 1.0379014901764902e+21 0 1.0499287268287269e+21
