Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 ActionOfAgent0 WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
24 26365 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
25 26370 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
26 26375 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
27 26380 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
28 26385 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
29 26390 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
30 26395 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
31 26400 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
32 26405 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
33 26410 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
34 26415 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
35 26420 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
36 26425 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
37 26430 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
38 26435 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
39 26440 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
40 26445 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
41 26450 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
42 26455 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
43 26460 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
44 26465 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
